Banco;Categoria;Trimestre;Data;Ativo Total;Carteira de Crédito;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;ROE_anualizado
Nubank;Digital;2024T3;09/2024;156471893.0;;134166334.0;10072409.0;2290857.0;6.0;0.9098
Nubank;Digital;2024T4;12/2024;176097862.0;;149211860.0;12586216.0;4832681.0;4.0;1.5359
Nubank;Digital;2025T1;03/2025;170787531.0;52540093.0;148414438.0;12109011.0;2504223.0;4.0;0.8272
Nubank;Digital;2025T2;06/2025;192249948.0;56936699.0;167821855.0;12034066.0;5504586.0;4.0;1.8297
Nubank;Digital;2025T3;09/2025;219449385.0;61661647.0;186790022.0;12267733.0;2198336.0;4.0;0.7168
Nubank;Digital;2025T4;dez/25;253341183.0;66131236.0;215171113.0;13109484.0;5785679.0;4.0;1.7653
PagBank;Fintech Pagamento;2024T1;03/2024;33838181.0;;32651023.0;781231.0;-9531.0;4.0;-0.0488
PagBank;Fintech Pagamento;2024T2;06/2024;38571736.0;;37349398.0;819676.0;29148.0;4.0;0.1422
PagBank;Fintech Pagamento;2024T3;09/2024;39488246.0;;38180159.0;849766.0;29963.0;4.0;0.141
PagBank;Fintech Pagamento;2024T4;12/2024;43095077.0;;41677072.0;836963.0;17196.0;4.0;0.0822
PagBank;Fintech Pagamento;2025T1;03/2025;41591544.0;36871615.0;40363617.0;845595.0;9586.0;4.0;0.0453
PagBank;Fintech Pagamento;2025T2;06/2025;44582497.0;40016543.0;43490683.0;877368.0;41769.0;4.0;0.1904
PagBank;Fintech Pagamento;2025T3;09/2025;47121104.0;42705618.0;45436982.0;1389538.0;12156.0;4.0;0.035
PagBank;Fintech Pagamento;2025T4;dez/25;48052482.0;44240840.0;46358837.0;1368681.0;26305.0;4.0;0.0769
PicPay;Fintech Pagamento;2024T4;12/2024;26151715.0;;20373839.0;795555.0;94543.0;7.0;0.4754
PicPay;Fintech Pagamento;2025T1;03/2025;28950223.0;13833507.0;22290943.0;848256.0;-45868.0;7.0;-0.2163
PicPay;Fintech Pagamento;2025T2;06/2025;32083492.0;16073020.0;24901823.0;997398.0;-95842.0;7.0;-0.3844
PicPay;Fintech Pagamento;2025T3;09/2025;36903126.0;18692150.0;28066944.0;1323278.0;44142.0;7.0;0.1334
PicPay;Fintech Pagamento;2025T4;dez/25;39154162.0;23031015.0;29245268.0;1114154.0;-164524.0;6.0;-0.5907
Santander;Tradicional;2024T1;03/2024;1191211330.0;;888082061.0;88153114.0;3085692.0;2538.0;0.14
Santander;Tradicional;2024T2;06/2024;1272247867.0;;933153004.0;89046716.0;6235120.0;2528.0;0.2801
Santander;Tradicional;2024T3;09/2024;1303611910.0;;952600270.0;89931864.0;3597614.0;2485.0;0.16
Santander;Tradicional;2024T4;12/2024;1369373832.0;;963970150.0;91458286.0;7130818.0;2452.0;0.3119
Santander;Tradicional;2025T1;03/2025;1253581865.0;524410576.0;985062359.0;91356459.0;3872843.0;2405.0;0.1696
Santander;Tradicional;2025T2;06/2025;1246892309.0;519646166.0;971911971.0;93183880.0;7469378.0;2323.0;0.3206
Santander;Tradicional;2025T3;09/2025;1276426350.0;528719260.0;984251575.0;95042824.0;4106122.0;2136.0;0.1728
Santander;Tradicional;2025T4;dez/25;1281314886.0;543346288.0;981561811.0;96441555.0;8305127.0;1890.0;0.3445
