Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito;Títulos e Valores Mobiliários;Passivo Exigível;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO UNICRED PREMIUM CAPITAL - UNICRED PREMIUM CAPITAL;1635462;b3S;S5;I;2;LAJEADO;RS;dez/25;2.043.708;1.210.868;41.267;1.808.772;1.643.172;234.936;6.149;0;29
COOPERATIVA DE CREDITO CREDICERIPA - SICOOB CREDICERIPA;966246;b3S;S4;I;2;ITAI;SP;dez/25;2.022.873;968.199;24.459;1.772.585;1.575.653;250.287;27.403;0;33
CENTRAL DAS COOPERATIVAS DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB CENTRAL CECRESP;62931522;b3C;S4;I;2;SAO PAULO;SP;dez/25;2.019.665;17.130;1.361.482;1.650.592;1.602.893;369.073;22.638;0;0
BANCO RIBEIRAO PRETO S.A.;517645;b1;S4;I;3;RIBEIRAO PRETO;SP;dez/25;2.018.732;1.135.706;665.197;1.795.010;1.769.222;223.722;14.156;2;0
COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA UNIÃO DOS VALES - CRESOL UNIÃO DOS VALES;5231945;b3S;S5;I;2;IVAIPORA;PR;dez/25;2.014.027;1.607.407;31.585;1.755.184;939.101;258.843;24.854;0;44
BANCO PAULISTA S.A.;61820817;b1;S4;C;2;SAO PAULO;SP;dez/25;1.999.044;962.986;395.344;1.879.547;1.667.588;119.497;-55.935;2;0
COOPERATIVA DE CRÉDITO CREDIGUAÇU - SICOOB CREDIGUAÇU;67960229;b3S;S4;I;2;DESCALVADO;SP;dez/25;1.980.664;787.504;84.572;1.706.820;1.672.445;273.844;32.280;0;36
COOPERATIVA DE CRÉDITO ALTO VALE DO ITAJAÍ - SICOOB ALTO VALE;80959612;b3S;S5;I;2;RIO DO SUL;SC;dez/25;1.978.882;911.874;44.523;1.742.023;1.414.607;236.858;20.850;0;29
AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A.-BADESC;82937293;n1;S4;C;1;FLORIANOPOLIS;SC;dez/25;1.945.909;1.506.461;350.287;787.400;718.009;1.158.510;111.766;2;0
SICOOB MANTIQUEIRA - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO;71698674;b3S;S5;I;2;TAUBATE;SP;dez/25;1.944.359;1.334.783;43.596;1.734.190;1.662.544;210.169;16.841;0;36
SWAP INSTITUIÇÃO DE PAGAMENTO S.A.;31680151;n4;NA;I;3;SAO PAULO;SP;dez/25;1.940.498;71.571;339.932;1.842.687;284.671;97.811;10.117;1;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO JAGUARI E ZONA DA MATA - SICREDI VALE DO JAGUARI E ZONA DA MATA RS/MG;87780284;b3S;S4;I;2;SANTIAGO;RS;dez/25;1.938.627;1.303.861;390.488;1.517.795;899.040;420.832;26.387;0;29
S3 CACEIS BRASIL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;62318407;n2;S4;I;3;SAO PAULO;SP;dez/25;1.930.579;0;450.381;1.009.503;298.347;921.076;166.965;2;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO METROPOLITANA DE GOIÂNIA LTDA.;7599206;b3S;S5;I;2;GOIANIA;GO;dez/25;1.920.259;1.150.086;121.888;1.426.850;1.251.316;493.408;64.645;0;12
SICREDI VEREDAS COOPERATIVA DE CREDITO;72257793;b3S;S4;I;2;FORTALEZA;CE;dez/25;1.880.374;675.939;921.579;1.616.952;1.389.339;263.421;36.539;0;26
STATE STREET BRASIL S.A. - BANCO COMERCIAL;9274232;b1;S4;I;3;SAO PAULO;SP;dez/25;1.879.079;0;940.186;1.166.969;1.123.458;712.110;15.644;2;0
CREDISIS PRIMACREDI COOPERATIVA DE CRÉDITO;26563270;b3S;S5;I;2;PRIMAVERA DO LESTE;MT;dez/25;1.869.714;1.294.450;41.634;1.664.389;1.364.909;205.326;5.354;0;9
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO PLANALTO CATARINENSE SICOOB CREDIPLANALTO SC/RS;1389651;b3S;S5;I;2;PAPANDUVA;SC;dez/25;1.849.637;1.287.294;135.492;1.650.670;1.434.263;198.968;15.263;0;20
RECARGAPAY INSTITUICAO DE PAGAMENTO LTDA.;11275560;n4;S4;C;3;SAO PAULO;SP;dez/25;1.829.819;171.343;1.009.950;1.655.540;520.367;174.279;13.075;1;0
COOPERATIVA DE CRÉDITO UNICRED EVOLUÇÃO LTDA. - UNICRED EVOLUÇÃO;1727929;b3S;S5;I;2;PATOS DE MINAS;MG;dez/25;1.827.478;1.094.793;22.748;1.667.380;1.472.074;160.098;4.421;0;32
COOPERATIVA DE CRÉDITO COOPERAÇÃO - SICREDI COOPERAÇÃO;87779625;b3S;S4;I;2;NAO-ME-TOQUE;RS;dez/25;1.820.821;1.170.670;462.159;1.489.577;889.692;331.244;15.603;0;27
COOPERATIVA DE CRÉDITO E INVESTIMENTO LIBERDADE - SICREDI LIBERDADE;88530142;b3S;S4;I;2;BAGE;RS;dez/25;1.817.361;1.119.566;512.767;1.487.089;855.602;330.272;23.696;0;22
CAIXA GERAL;51815;b1;S4;C;3;SAO PAULO;SP;dez/25;1.810.193;889.195;681.859;1.508.674;1.483.084;301.518;0;4;0
COOPERATIVA DE CRÉDITO UNICRED VALE LTDA - UNICRED VALE;73443863;b3S;S5;I;2;BLUMENAU;SC;dez/25;1.802.230;1.052.202;31.078;1.629.684;1.507.898;172.546;3.965;0;18
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO UNICRED INTEGRAÇÃO LTDA.;73750424;b3S;S5;I;2;CAXIAS DO SUL;RS;dez/25;1.786.474;881.442;33.429;1.628.588;1.499.412;157.885;3.458;0;21
AFINZ INSTITUIÇÃO DE PAGAMENTO S.A.;60114865;n4;S4;C;2;SOROCABA;SP;dez/25;1.786.276;826.514;110.800;1.642.807;32.644;143.469;74.477;1;0
BBVA BRASIL BANCO DE INVESTIMENTO S.A.;45283173;b2;S4;I;3;SAO PAULO;SP;dez/25;1.780.537;542.951;624.882;672.648;567.946;1.107.888;13.826;2;0
COOPERATIVA CENTRAL DE CRÉDITO DA BAHIA LTDA - SICOOB CENTRAL BA;34148882;b3C;S4;I;2;SALVADOR;BA;dez/25;1.774.667;16.474;387.835;1.606.830;124.241;167.837;8.890;0;0
QISTA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;36583700;n1;S4;C;2;SAO PAULO;SP;dez/25;1.745.460;488.206;1.110.125;1.626.258;1.324.115;119.202;5.893;2;0
COOPERATIVA DE CRÉDITO E INVESTIMENTO SICOOB CENTRO - SICOOB CENTRO;8044854;b3S;S5;I;2;JI-PARANA;RO;dez/25;1.740.331;919.411;44.773;1.480.305;1.076.366;260.026;17.726;0;21
COOPERATIVA DE CRÉDITO COOPACREDI LTDA. - SICOOB COOPACREDI;65229254;b3S;S5;I;2;PATROCINIO;MG;dez/25;1.729.677;1.006.332;60.064;1.429.889;1.059.680;299.788;27.137;0;21
COOPERATIVA DE CRÉDITO DA AMAZÔNIA - SICOOB AMAZÔNIA;5203605;b3S;S5;I;2;BURITIS;RO;dez/25;1.725.724;1.248.122;44.262;1.473.470;1.138.487;252.254;8.414;0;28
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SICOOB ARENITO PARANÁ / SÃO PAULO;7026923;b3S;S5;I;2;UMUARAMA;PR;dez/25;1.723.577;904.951;19.818;1.556.755;1.296.287;166.821;12.348;0;37
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;S4;I;3;BARUERI;SP;dez/25;1.707.933;1.570.341;0;479.958;271.132;1.227.974;71.696;4;0
COOPERATIVA DE CRÉDITO UNICRED DO ESTADO DE SÃO PAULO LTDA.;71884498;b3S;S5;I;2;CAMPINAS;SP;dez/25;1.704.103;914.418;34.511;1.453.483;1.348.622;250.619;13.151;0;34
COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA UNIÃO - CRESOL UNIÃO;2446089;b3S;S5;I;2;CORONEL VIVIDA;PR;dez/25;1.690.462;1.321.995;29.622;1.487.986;772.576;202.476;13.716;0;21
CENTRAL DAS COOPERATIVAS DE CRÉDITO DOS ESTADOS DE MATO GROSSO, MATO GROSSO DO SUL E DO MUNICÍPIO DE CACOAL/RO - SICOOB CENTRAL RONDON;106180;b3C;S4;I;2;CUIABA;MT;dez/25;1.690.159;18.826;747.579;1.536.475;0;153.684;4.853;0;2
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA PARAÍBA - SICOOB PARAÍBA;11907520;b3S;S5;I;2;CAMPINA GRANDE;PB;dez/25;1.685.920;996.721;63.416;1.364.597;1.305.310;321.323;44.274;0;11
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ITAÚNA E REGIÃO LTDA - SICOOB CENTRO-OESTE;66463407;b3S;S5;I;2;ITAUNA;MG;dez/25;1.684.294;755.798;23.255;1.483.609;1.454.660;200.684;12.134;0;9
BANCO IBM S.A.;34270520;b2;S4;I;2;RIO DE JANEIRO;RJ;dez/25;1.670.033;1.008.488;0;1.154.980;871.394;515.053;7.323;2;0
COOPERATIVA DE CRÉDITO SAROM;66402207;b3S;S5;I;2;SAO ROQUE DE MINAS;MG;dez/25;1.664.933;758.694;17.354;1.474.662;1.195.607;190.271;13.272;0;30
CELCOIN INSTITUICAO DE PAGAMENTO S.A.;13935893;n4;NA;C;3;BARUERI;SP;dez/25;1.660.227;0;380.646;1.288.102;945.310;372.125;-8.503;1;0
COOPERATIVA DE CRÉDITO CREDICOCAPEC;67096909;b3S;S4;I;2;FRANCA;SP;dez/25;1.632.900;909.389;50.470;1.323.727;1.083.284;309.173;35.192;0;10
BANCO MONEO S.A.;7441209;b2;S4;I;2;CAXIAS DO SUL;RS;dez/25;1.615.919;1.536.892;727;1.295.495;1.241.958;320.424;22.496;2;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO UNICRED ELEVA LTDA.;95163002;b3S;S5;I;2;SANTO ANGELO;RS;dez/25;1.612.722;966.581;28.469;1.459.337;1.336.725;153.385;6.002;0;18
COOPERATIVA DE CRÉDITO CREDINTER LTDA. - SICOOB CREDINTER;24048910;b3S;S5;I;2;GUARANESIA;MG;dez/25;1.605.769;910.006;42.190;1.396.257;1.210.721;209.512;6.069;0;19
BANCO ARBI S.A.;54403563;b1;S4;I;2;RIO DE JANEIRO;RJ;dez/25;1.585.819;356.134;186.920;1.480.619;1.390.820;105.200;12.344;5;0
COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA INTEGRAÇÃO - CRESOL INTEGRAÇÃO;7268499;b3S;S5;I;2;TOLEDO;PR;dez/25;1.562.320;1.147.140;23.228;1.356.200;777.806;206.120;13.959;0;31
CHG-MERIDIAN DO BRASIL ARRENDAMENTO MERCANTIL S.A.;18539102;n1;S4;I;3;BARUERI;SP;dez/25;1.546.537;329.889;0;1.366.927;984.660;179.611;2.953;2;0
AGROLEND SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.;43774196;n1;S5;I;2;SAO PAULO;SP;dez/25;1.538.854;942.914;589.583;1.036.699;1.024.385;502.156;15.062;2;0
COOPERATIVA DE CRÉDITO CREDIVERTENTES LTDA. - SICOOB CREDIVERTENTES;22724710;b3S;S5;I;2;SAO TIAGO;MG;dez/25;1.526.629;625.163;25.210;1.286.644;1.231.524;239.986;21.689;0;22
COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA VANGUARDA - CRESOL VANGUARDA;3965737;b3S;S5;I;2;CHAPECO;SC;dez/25;1.525.344;1.096.254;22.396;1.397.086;825.806;128.258;940;0;23
CENTRAL DAS COOPERATIVAS DE CRÉDITO DO NORDESTE - SICOOB CENTRAL NE;70116611;b3C;S4;I;2;JOAO PESSOA;PB;dez/25;1.513.546;22.126;468.131;1.419.449;106.031;94.097;5.909;0;0
COOPERATIVA DE CRÉDITO CREDINOR LTDA - SICOOB CREDINOR;21866694;b3S;S5;I;2;MONTES CLAROS;MG;dez/25;1.510.173;664.104;26.990;1.283.991;1.172.018;226.182;28.215;0;33
ENTREPAY INSTITUICAO DE PAGAMENTO S.A;17887874;n4;S5;C;2;SAO PAULO;SP;dez/25;1.510.088;0;52.419;1.358.509;19.810;151.579;-241.796;1;0
COOPERATIVA DE CREDITO CREDISUDESTE LTDA. - SICOOB CREDISUDESTE;22656789;b3S;S5;I;2;MURIAE;MG;dez/25;1.505.824;643.778;44.753;1.334.925;1.017.584;170.899;21.620;0;26
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB CREDICARU SC/RS;694389;b3S;S5;I;2;SAO JOSE DO CERRITO;SC;dez/25;1.504.723;1.024.418;30.282;1.235.001;775.890;269.722;20.533;0;15
STARA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO;17359351;n1;S4;I;2;NAO-ME-TOQUE;RS;dez/25;1.485.231;1.424.680;46.462;1.255.362;1.235.736;229.869;11.404;2;0
COOPERATIVA DE CRÉDITO CREDICAF LTDA - SICOOB CREDICAF;25395435;b3S;S5;I;2;LAJINHA;MG;dez/25;1.474.329;725.395;64.977;1.237.218;926.446;237.111;21.389;0;20
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ITAPIRANGA - SICOOB CREDITAPIRANGA SC/RS;78483310;b3S;S5;I;2;ITAPIRANGA;SC;dez/25;1.463.795;810.609;20.297;1.316.708;843.076;147.086;14.555;0;10
COOPERATIVA DE CRÉDITO INTEGRADO - SICOOB INTEGRADO;7122321;b3S;S5;I;2;PATO BRANCO;PR;dez/25;1.455.330;920.521;18.004;1.293.600;1.136.538;161.730;14.153;0;45
COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA DA AMAZÔNIA - CRESOL AMAZÔNIA;10520232;b3S;S5;I;2;JI-PARANA;RO;dez/25;1.454.636;1.181.568;29.682;1.273.043;512.793;181.593;14.194;0;22
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO NORTE DOS ESTADOS DE MATO GROSSO E MATO GROSSO DO SUL - SICOOB UNIÃO MT/MS;3326437;b3S;S5;I;2;CUIABA;MT;dez/25;1.439.538;1.007.380;31.067;1.283.723;1.089.750;155.814;-26.358;0;29
BANCO KEB HANA DO BRASIL S.A.;2318507;b1;S4;I;3;SAO PAULO;SP;dez/25;1.438.351;138.287;315.960;1.231.172;1.211.489;207.178;9.718;2;0
COOPERATIVA DE CRÉDITO SICOOB CREDICAPITAL;4529074;b3S;S5;I;2;CASCAVEL;PR;dez/25;1.431.205;978.748;32.215;1.259.410;1.017.736;171.795;7.814;0;25
COOPERATIVA DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA DO PLANALTO SERRA SUL DO RIO GRANDE DO SUL - CRESOL PLANALTO SERRA SUL;5863726;b3S;S5;I;2;SANANDUVA;RS;dez/25;1.427.290;1.025.542;41.581;1.274.467;735.244;152.823;11.074;0;29
COOPERATIVA DE POUPANÇA E CRÉDITO DO VALE DO RIO DOCE LTDA - SICOOB CREDIRIODOCE;25606237;b3S;S5;I;2;GOVERNADOR VALADARES;MG;dez/25;1.399.265;446.343;25.417;1.224.359;1.134.146;174.906;20.257;0;27
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO NORTE DE MATO GROSSO - SICOOB NORTE MT;23623636;b3S;S5;I;2;SINOP;MT;dez/25;1.396.006;1.027.694;26.767;1.237.834;1.108.800;158.172;-6.378;0;27
COOPERATIVA DE CRÉDITO CREDCOOPER LTDA - SICOOB CREDCOOPER;19449602;b3S;S5;I;2;CARATINGA;MG;dez/25;1.382.852;612.011;38.823;1.174.522;906.270;208.330;31.116;0;11
COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA DE MINAS GERAIS - CRESOL MINAS GERAIS;8624548;b3S;S5;I;2;MURIAE;MG;dez/25;1.361.123;918.573;19.661;1.215.792;741.699;145.331;13.345;0;31
COOPERATIVA DE CRÉDITO NOSSOCRÉDITO LTDA - SICOOB NOSSOCRÉDITO;22760839;b3S;S5;I;2;SAO SEBASTIAO DO PARAISO;MG;dez/25;1.360.319;635.499;25.212;1.146.529;1.033.970;213.790;31.359;0;11
COOPERATIVA DE CREDITO COOPLIVRE;49389307;b3S;S5;I;2;CAPIVARI;SP;dez/25;1.353.192;686.622;21.557;1.181.566;1.050.768;171.626;12.308;0;21
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO TRÊS FRONTEIRAS - SICOOB TRÊS FRONTEIRAS;4876393;b3S;S5;I;2;FOZ DO IGUACU;PR;dez/25;1.352.767;811.749;16.089;1.204.913;1.021.487;147.854;17.241;0;21
ASA SOCIEDADE DE CRÉDITO FINANCIAMENTO E INVESTIMENTO S.A.;48703388;n1;S5;I;2;SAO PAULO;SP;dez/25;1.346.694;539.938;357.357;1.097.331;1.044.270;249.363;-2.408;2;0
EMPRESA BRASILEIRA DE BENEFICIOS E PAGAMENTOS INSTITUICAO DE PAGAMENTO LTDA;33449007;n4;NA;I;2;SAO PAULO;SP;dez/25;1.345.374;0;1.283.119;1.287.517;482.983;57.857;-834;1;0
ICBC DO BRASIL BANCO MÚLTIPLO S.A.;17453575;b1;S4;I;3;SAO PAULO;SP;dez/25;1.345.321;106.928;1.026.092;1.185.652;877.900;159.669;384;2;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS NOVA TRENTO   SICOOB TRENTOCREDI SC;2641969;b3S;S5;I;2;NOVA TRENTO;SC;dez/25;1.332.148;694.283;121.224;1.091.141;1.067.906;241.007;27.651;0;16
COOPERATIVA DE CRÉDITO CREDIUNA LTDA - SICOOB CREDIUNA;64237530;b3S;S5;I;2;ITAUNA;MG;dez/25;1.328.313;540.366;29.393;1.097.027;975.485;231.287;31.866;0;10
BANCO KOMATSU DO BRASIL S.A.;23903068;b2;S4;I;3;SAO PAULO;SP;dez/25;1.323.890;1.232.757;0;1.088.948;957.096;234.943;15.557;2;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO NOROESTE DO ESTADO DE SÃO PAULO - SICREDI NOROESTE SP;3065046;b3S;S4;I;2;SAO JOSE DO RIO PRETO;SP;dez/25;1.304.909;622.670;506.683;1.177.664;850.870;127.246;13.719;0;20
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS VALE DO CHAPECOZINHO - SICOOB VALCREDI SUL;2090126;b3S;S5;I;2;PASSOS MAIA;SC;dez/25;1.301.750;849.923;21.114;1.168.218;960.761;133.532;11.797;0;19
WISE BRASIL INSTITUICAO DE PAGAMENTO LTDA;40571694;n4;S4;C;3;SAO PAULO;SP;dez/25;1.292.348;0;11.808;1.276.304;943.920;16.044;3.212;1;0
IUGU INSTITUIÇÃO DE PAGAMENTO S.A.;15111975;n4;NA;C;2;SAO PAULO;SP;dez/25;1.292.126;0;25.904;1.232.898;421.301;59.228;-67.488;1;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE FRUTAL LTDA.   SICOOB FRUTAL;71419600;b3S;S5;I;2;FRUTAL;MG;dez/25;1.278.763;788.071;34.508;1.098.258;797.454;180.505;13.511;0;8
EBANX INSTITUICAO DE PAGAMENTOS LTDA.;21018182;n4;NA;I;2;CURITIBA;PR;dez/25;1.274.117;0;0;1.171.978;1.152.291;102.138;47.780;1;0
CREDISIS JICRED - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO JICRED;2309070;b3S;S5;I;2;JI-PARANA;RO;dez/25;1.266.920;742.475;41.105;1.054.099;877.607;212.821;13.735;0;26
COOPERATIVA DE CRÉDITO DA FOZ DO RIO ITAJAÍ AÇU - CREDIFOZ;9512539;b3S;S5;I;2;ITAJAI;SC;dez/25;1.262.004;913.427;39.557;1.060.644;880.308;201.360;16.431;0;25
COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA ESSÊNCIA - CRESOL ESSÊNCIA;6031727;b3S;S5;I;2;SANTO CRISTO;RS;dez/25;1.259.729;864.179;11.253;1.124.046;677.680;135.684;12.644;0;22
COOPERATIVA DE CRÉDITO DOS PROFISSIONAIS DA ÁREA DA SAÚDE E DE LIVRE ADMISSÃO LTDA - UNICRED ALIANÇA;70937271;b3S;S5;I;2;UBERLANDIA;MG;dez/25;1.257.963;709.262;22.970;1.132.351;1.014.790;125.613;13.367;0;26
DLOCAL BRASIL INSTITUIÇÃO DE PAGAMENTO S.A.;25021356;n4;NA;I;3;SAO PAULO;SP;dez/25;1.236.145;0;11.334;1.106.918;177.623;129.227;17.659;1;0
COOPERATIVA DE CRÉDITO CREDISETE LTDA. - SICOOB CREDISETE;22753982;b3S;S5;I;2;SETE LAGOAS;MG;dez/25;1.231.369;449.410;22.459;1.082.050;1.047.348;149.319;9.580;0;14
CREDISIS CREDIARI - COOPERATIVA DE CRÉDITO LTDA.;3222753;b3S;S5;I;2;ARIQUEMES;RO;dez/25;1.224.680;770.314;60.764;831.415;769.520;393.264;27.497;0;18
COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA TRIUNFO - CRESOL TRIUNFO;8560508;b3S;S5;I;2;SAO JOAO DO TRIUNFO;PR;dez/25;1.221.757;916.999;17.526;1.097.491;684.048;124.266;1.806;0;12
DESENBAHIA - AGENCIA DE FOMENTO DO ESTADO DA BAHIA S.A.;15163587;n1;S4;I;1;SALVADOR;BA;dez/25;1.220.124;665.120;419.999;326.891;229.075;893.233;43.046;2;0
COOPERATIVA DE CRÉDITO CREDIBOM LTDA. - SICOOB CREDIBOM;21670187;b3S;S5;I;2;BOM DESPACHO;MG;dez/25;1.217.854;463.311;28.439;1.040.457;939.623;177.396;24.554;0;7
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ESTADO DE SÃO PAULO - SICOOB PAULISTA;10262276;b3S;S5;I;2;PRESIDENTE PRUDENTE;SP;dez/25;1.214.412;782.414;26.942;1.086.686;1.013.665;127.726;11.225;0;22
BANCO B3 S.A.;997185;b1;S4;C;2;SAO PAULO;SP;dez/25;1.206.017;0;195.052;982.842;925.211;223.174;30.098;2;0
MULVI INSTITUICAO DE PAGAMENTO S.A.;3847413;n4;S4;C;1;ARACAJU;SE;dez/25;1.195.976;622.341;92.549;1.120.483;4.768;75.493;-13.436;1;0
STARK BANK S.A. - INSTITUICAO DE PAGAMENTO;20018183;n4;S4;C;2;SAO PAULO;SP;dez/25;1.195.020;31.485;43.879;1.069.371;974.596;125.649;5.201;1;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE ARARAQUARA E REGIÃO - SICREDI MORADA DO SOL SP;73113243;b3S;S4;I;2;ARARAQUARA;SP;dez/25;1.194.562;654.749;433.740;1.092.534;851.104;102.028;14.126;0;10
BS2 PAYMENTS INSTITUIÇÃO DE PAGAMENTO S.A.;20520298;n4;S3;C;2;BELO HORIZONTE;MG;dez/25;1.189.488;0;83.841;792.922;51.311;396.566;-1.593;1;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS VALE DO RIO DO PEIXE - SICOOB CREDIRIO SC;78865995;b3S;S5;I;2;JOACABA;SC;dez/25;1.183.371;581.676;17.268;1.067.257;893.354;116.114;10.782;0;11
BPCE EQUIPMENT SOLUTIONS BRASIL S.A. - ARRENDAMENTO MERCANTIL;62816426;n1;S4;I;3;BARUERI;SP;dez/25;1.178.711;936.139;180.907;877.515;783.827;301.196;-30.656;2;0
COOPERATIVA DE CRÉDITO NOROESTE DE MINAS LTDA. - SICOOB NOROESTE DE MINAS;86564051;b3S;S5;I;2;UNAI;MG;dez/25;1.159.224;805.099;63.169;1.017.671;740.514;141.553;402;0;6
COOPERATIVA DE CRÉDITO CREDICARPA LTDA. - SICOOB CREDICARPA;23949522;b3S;S5;I;2;CARMO DO PARANAIBA;MG;dez/25;1.153.480;653.032;34.269;928.366;652.469;225.114;8.542;0;5
COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA NORTE PARANAENSE - CRESOL NORTE PARANAENSE;7925729;b3S;S5;I;2;LONDRINA;PR;dez/25;1.150.430;812.126;11.803;1.027.318;721.296;123.112;754;0;19
COOPERATIVA DE CRÉDITO CREDISG LTDA. - SICOOB CREDISG;3645752;b3S;S5;I;2;SAO GOTARDO;MG;dez/25;1.141.696;674.390;43.967;898.579;624.387;243.117;25.800;0;1
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE PERNAMBUCO - SICOOB PERNAMBUCO;3732359;b3S;S5;I;2;SAO JOSE DO EGITO;PE;dez/25;1.137.834;801.092;39.020;995.051;892.363;142.782;18.638;0;41
COOPERATIVA DE CRÉDITO CREDIFOR LTDA - SICOOB CREDIFOR;41931445;b3S;S5;I;2;FORMIGA;MG;dez/25;1.128.793;410.335;315.917;1.022.260;944.835;106.533;4.271;0;8
COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA PROGRESSO - CRESOL PROGRESSO;2448310;b3S;S5;I;2;CASCAVEL;PR;dez/25;1.123.592;890.222;15.579;987.317;579.364;136.275;9.005;0;17
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO UNIÃO E NEGÓCIOS - SICOOB INTEGRAÇÃO;8742188;b3S;S5;I;2;CUIABA;MT;dez/25;1.119.427;805.355;19.457;993.445;898.147;125.982;-4.563;0;25
BANCO SEMEAR S.A.;795423;b1;S4;I;2;BELO HORIZONTE;MG;dez/25;1.119.136;608.361;150.283;1.008.541;965.907;110.595;2.177;2;0
CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9313766;n1;S4;I;2;SAO PAULO;SP;dez/25;1.110.255;903.273;22.127;981.343;969.909;128.912;-4.608;2;0
COOPERATIVA DE CRÉDITO CREDIVALE LTDA - SICOOB CREDIVALE;25387655;b3S;S5;I;2;TEOFILO OTONI;MG;dez/25;1.099.294;325.781;25.367;937.599;851.186;161.694;24.670;0;26
COOPERATIVA DE CRÉDITO EVOLUA;10311218;b3S;S5;I;2;FRANCISCO BELTRAO;PR;dez/25;1.092.015;877.957;28.036;949.632;582.271;142.384;8.171;0;21
DM INSTITUICAO DE PAGAMENTO S.A.;16581207;n4;S4;C;2;SAO JOSE DOS CAMPOS;SP;dez/25;1.086.982;707.266;26.825;892.983;33.833;194.000;-32.113;1;0
COOPERATIVA DE CRÉDITO DO NORTE CATARINENSE - ACREDICOOP;3461243;b3S;S5;I;2;JOINVILLE;SC;dez/25;1.086.058;839.654;25.488;949.691;792.124;136.366;8.114;0;23
BNY MELLON;51808;b1;S4;C;3;RIO DE JANEIRO;RJ;dez/25;1.074.892;0;395.853;512.173;315.546;562.719;45.745;5;0
COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA LIDERANÇA - CRESOL LIDERANÇA;2934201;b3S;S5;I;2;CHOPINZINHO;PR;dez/25;1.073.338;820.214;20.396;910.621;436.142;162.717;14.188;0;19
